10,-97
11,-118
12,-140
13,-165
14,-192
15,-220
16,-251
17,-284
18,-318
19,-355
20,-394
21,-434
22,-477
23,-522
24,-568
25,-617
26,-668
27,-720
28,-775
29,-832
30,-890
31,-951
32,-1014
33,-1078
34,-1145
35,-1214
36,-1284
37,-1357
38,-1432
39,-1508
40,-1587
41,-1668
42,-1750
43,-1835
44,-1922
45,-2010
46,-2101
47,-2194
48,-2288
49,-2385
50,-2484
51,-2584
52,-2687
53,-2792
54,-2898
55,-3007
56,-3118
57,-3230
58,-3345
59,-3462
60,-3580
61,-3701
62,-3824
63,-3948
64,-4075
65,-4204
66,-4334
67,-4467
68,-4602
69,-4738
70,-4877
71,-5018
72,-5160
73,-5305
74,-5452
75,-5600
76,-5751
77,-5904
78,-6058
79,-6215
80,-6374
81,-6534
82,-6697
83,-6862
84,-7028
85,-7197
86,-7368
87,-7540
88,-7715
89,-7892
90,-8070
91,-8251
92,-8434
93,-8618
94,-8805
95,-8994
96,-9184
97,-9377
98,-9572
99,-9768
100,-9967
101,-10168
102,-10370
103,-10575
104,-10782
105,-10990
106,-11201
107,-11414
108,-11628
109,-11845
110,-12064
111,-12284
112,-12507
113,-12732
114,-12958
115,-13187
116,-13418
117,-13650
118,-13885
119,-14122
120,-14360
121,-14601
122,-14844
123,-15088
124,-15335
125,-15584
126,-15834
127,-16087
128,-16342
129,-16598
130,-16857
131,-17118
132,-17380
133,-17645
134,-17912
135,-18180
136,-18451
137,-18724
138,-18998
139,-19275
140,-19554
141,-19834
142,-20117
143,-20402
144,-20688
145,-20977
146,-21268
147,-21560
148,-21855
149,-22152
150,-22450
151,-22751
152,-23054
153,-23358
154,-23665
155,-23974
156,-24284
157,-24597
158,-24912
159,-25228
160,-25547
161,-25868
162,-26190
163,-26515
164,-26842
165,-27170
166,-27501
167,-27834
168,-28168
169,-28505
170,-28844
171,-29184
172,-29527
173,-29872
174,-30218
175,-30567
176,-30918
177,-31270
178,-31625
179,-31982
180,-32340
181,-32701
182,-33064
183,-33428
184,-33795
185,-34164
186,-34534
187,-34907
188,-35282
189,-35658
190,-36037
191,-36418
192,-36800
193,-37185
194,-37572
195,-37960
196,-38351
197,-38744
198,-39138
199,-39535
200,-39934
201,-40334
202,-40737
203,-41142
204,-41548
205,-41957
206,-42368
207,-42780
208,-43195
209,-43612
210,-44030
211,-44451
212,-44874
213,-45298
214,-45725
215,-46154
216,-46584
217,-47017
218,-47452
219,-47888
220,-48327
221,-48768
222,-49210
223,-49655
224,-50102
225,-50550
226,-51001
227,-51454
228,-51908
229,-52365
230,-52824
231,-53284
232,-53747
233,-54212
234,-54678
235,-55147
236,-55618
237,-56090
238,-56565
239,-57042
240,-57520
241,-58001
242,-58484
243,-58968
244,-59455
245,-59944
246,-60434
247,-60927
248,-61422
249,-61918
250,-62417
251,-62918
252,-63420
253,-63925
254,-64432
255,-64940
256,-65451
257,-65964
258,-66478
259,-66995
260,-67514
261,-68034
262,-68557
263,-69082
264,-69608
265,-70137
266,-70668
267,-71200
268,-71735
269,-72272
270,-72810
271,-73351
272,-73894
273,-74438
274,-74985
275,-75534
276,-76084
277,-76637
278,-77192
279,-77748
280,-78307
281,-78868
282,-79430
283,-79995
284,-80562
285,-81130
286,-81701
287,-82274
288,-82848
289,-83425
290,-84004
291,-84584
292,-85167
293,-85752
294,-86338
295,-86927
296,-87518
297,-88110
298,-88705
299,-89302
300,-89900
301,-90501
302,-91104
303,-91708
304,-92315
305,-92924
306,-93534
307,-94147
308,-94762
309,-95378
310,-95997
311,-96618
312,-97240
313,-97865
314,-98492
315,-99120
316,-99751
317,-100384
318,-101018
319,-101655
320,-102294
321,-102934
322,-103577
323,-104222
324,-104868
325,-105517
326,-106168
327,-106820
328,-107475
329,-108132
330,-108790
331,-109451
332,-110114
